"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.015621950E-1,-8.051322401E-2,-2.693122029E-1,9.693517685E0,9.697592307E0
2.040021430E-1,-9.008961916E-2,-2.549476326E-1,9.722246170E0,9.726005605E0
2.064418310E-1,-8.769552410E-2,-2.645240426E-1,9.703093529E0,9.707094699E0
2.088812580E-1,-1.020601094E-1,-2.836768031E-1,9.700698853E0,9.705382374E0
2.113214660E-1,-8.051322401E-2,-2.549476326E-1,9.681546211E0,9.685237102E0
2.137609450E-1,-8.290731907E-2,-2.405830324E-1,9.633664131E0,9.637024355E0
2.161999040E-1,-7.572502643E-2,-2.597358227E-1,9.636057854E0,9.639855182E0
2.186390180E-1,-1.020601094E-1,-2.477653325E-1,9.614511490E0,9.618244908E0
2.210781330E-1,-1.140306070E-1,-2.501594424E-1,9.600147247E0,9.604082980E0
2.235183930E-1,-1.068483144E-1,-2.405830324E-1,9.588175774E0,9.591788750E0
2.259586020E-1,-1.092424095E-1,-2.453712225E-1,9.609723091E0,9.613475897E0
2.283979770E-1,-1.020601094E-1,-2.334007472E-1,9.609723091E0,9.613098879E0
2.308378720E-1,-1.020601094E-1,-2.429771274E-1,9.640846252E0,9.644447657E0
2.332772990E-1,-1.020601094E-1,-2.573417425E-1,9.669576645E0,9.673538832E0
2.357163100E-1,-1.068483144E-1,-2.429771274E-1,9.662393570E0,9.666038690E0
2.381560490E-1,-9.487781674E-2,-2.405830324E-1,9.717457771E0,9.720898494E0
2.405956330E-1,-1.020601094E-1,-2.525535226E-1,9.739004135E0,9.742812792E0
2.430357890E-1,-9.487781674E-2,-2.693122029E-1,9.724639893E0,9.728830963E0
2.454753720E-1,-8.530142903E-2,-2.334007472E-1,9.722246170E0,9.725421473E0
2.479142270E-1,-9.487781674E-2,-2.405830324E-1,9.717457771E0,9.720898494E0
2.503538100E-1,-1.140306070E-1,-2.549476326E-1,9.671970367E0,9.676001864E0
2.527928720E-1,-1.212129071E-1,-2.262184322E-1,9.671970367E0,9.675374832E0
2.552315180E-1,-1.140306070E-1,-2.310066223E-1,9.636057854E0,9.639500921E0
2.576707370E-1,-1.068483144E-1,-2.310066223E-1,9.609723091E0,9.613093077E0
2.601100080E-1,-1.260011047E-1,-2.238243222E-1,9.628876686E0,9.632301897E0
2.625496950E-1,-9.248372167E-2,-2.381889224E-1,9.600147247E0,9.603546968E0
2.649889140E-1,-1.212129071E-1,-2.238243222E-1,9.626482010E0,9.629846613E0
2.674277160E-1,-1.140306070E-1,-2.669181228E-1,9.650423050E0,9.654787067E0
2.698672470E-1,-1.188188046E-1,-2.597358227E-1,9.691122055E0,9.695330180E0
2.723065700E-1,-1.212129071E-1,-2.334007472E-1,9.700698853E0,9.704263326E0
2.747455810E-1,-1.092424095E-1,-2.453712225E-1,9.717457771E0,9.721168987E0
2.771851120E-1,-1.068483144E-1,-2.621299326E-1,9.741397858E0,9.745509781E0
2.796247990E-1,-1.020601094E-1,-2.453712225E-1,9.739004135E0,9.742629257E0
2.820651120E-1,-9.008961916E-2,-2.238243222E-1,9.705487251E0,9.708485786E0
2.845050600E-1,-1.164247096E-1,-2.262184322E-1,9.710275650E0,9.713608119E0
2.869443310E-1,-1.068483144E-1,-2.310066223E-1,9.667181015E0,9.670530978E0
2.893841740E-1,-1.212129071E-1,-2.214302421E-1,9.640846252E0,9.644150579E0
2.918236020E-1,-1.236070022E-1,-2.214302421E-1,9.621694565E0,9.625035914E0
2.942623520E-1,-1.092424095E-1,-2.429771274E-1,9.626482010E0,9.630167583E0
2.967013620E-1,-1.188188046E-1,-2.334007472E-1,9.624088287E0,9.627651281E0
2.991407890E-1,-1.164247096E-1,-2.238243222E-1,9.631270409E0,9.634574289E0
3.015809450E-1,-9.966601431E-2,-2.238243222E-1,9.648029327E0,9.651139857E0
3.040205290E-1,-1.236070022E-1,-2.525535226E-1,9.659998894E0,9.664090262E0
3.064595390E-1,-1.379715949E-1,-2.573417425E-1,9.681546211E0,9.685948481E0
3.088991220E-1,-1.164247096E-1,-2.453712225E-1,9.707880974E0,9.711679296E0
3.113382890E-1,-1.068483144E-1,-2.621299326E-1,9.741397858E0,9.745509781E0
3.137769870E-1,-9.727191925E-2,-2.429771274E-1,9.691122055E0,9.694655558E0
3.162161540E-1,-9.966601431E-2,-2.381889224E-1,9.698305130E0,9.701741579E0
3.186554240E-1,-9.008961916E-2,-2.262184322E-1,9.686334610E0,9.689394671E0
3.210950080E-1,-9.966601431E-2,-2.405830324E-1,9.667181015E0,9.670687788E0
3.235340700E-1,-8.051322401E-2,-2.357948273E-1,9.657605171E0,9.660818766E0
3.259729240E-1,-1.068483144E-1,-2.453712225E-1,9.626482010E0,9.630201425E0
3.284130290E-1,-8.769552410E-2,-2.381889224E-1,9.600147247E0,9.603502051E0
3.308527160E-1,-9.248372167E-2,-2.310066223E-1,9.590570450E0,9.593797937E0
3.332917790E-1,-8.530142903E-2,-2.310066223E-1,9.583388329E0,9.586551635E0
3.357313620E-1,-9.008961916E-2,-2.214302421E-1,9.619298935E0,9.622268937E0
3.381709970E-1,-8.769552410E-2,-2.262184322E-1,9.633664131E0,9.636718834E0
3.406109450E-1,-8.290731907E-2,-2.357948273E-1,9.657605171E0,9.660839015E0
3.430504240E-1,-8.530142903E-2,-2.597358227E-1,9.674364090E0,9.678226055E0
3.454896430E-1,-8.290731907E-2,-2.501594424E-1,9.693517685E0,9.697099488E0
3.479298520E-1,-8.051322401E-2,-2.645240426E-1,9.710275650E0,9.714211679E0
3.503694870E-1,-6.854273379E-2,-2.549476326E-1,9.698305130E0,9.701897690E0
3.528086540E-1,-9.008961916E-2,-2.597358227E-1,9.686334610E0,9.690235137E0
3.552484450E-1,-9.248372167E-2,-2.501594424E-1,9.676757812E0,9.680432570E0
3.576883930E-1,-7.811912894E-2,-2.549476326E-1,9.638452530E0,9.642140222E0
3.601281850E-1,-9.248372167E-2,-2.190361321E-1,9.604935646E0,9.607877957E0
3.625675080E-1,-9.727191925E-2,-2.142479420E-1,9.600147247E0,9.603030312E0
3.650069350E-1,-9.727191925E-2,-2.310066223E-1,9.590570450E0,9.593845290E0
3.674474040E-1,-1.020601094E-1,-2.381889224E-1,9.573812485E0,9.577318817E0
3.698874560E-1,-9.966601431E-2,-2.573417425E-1,9.604935646E0,9.608899357E0
3.723268830E-1,-1.020601094E-1,-2.429771274E-1,9.600147247E0,9.603763914E0
3.747665700E-1,-9.966601431E-2,-2.357948273E-1,9.640846252E0,9.644244345E0
3.772065700E-1,-9.487781674E-2,-2.645240426E-1,9.633664131E0,9.637762155E0
3.796470910E-1,-9.727191925E-2,-2.645240426E-1,9.669576645E0,9.673683233E0
3.820867790E-1,-9.008961916E-2,-2.764945030E-1,9.671970367E0,9.676341051E0
3.845257890E-1,-9.008961916E-2,-2.621299326E-1,9.679152489E0,9.683120424E0
3.869657890E-1,-9.008961916E-2,-2.621299326E-1,9.674364090E0,9.678333988E0
3.894054770E-1,-9.248372167E-2,-2.549476326E-1,9.681546211E0,9.685344009E0
3.918446950E-1,-9.727191925E-2,-2.741004229E-1,9.657605171E0,9.661983777E0
3.942842790E-1,-1.140306070E-1,-2.597358227E-1,9.648029327E0,9.652198484E0
3.967238100E-1,-9.727191925E-2,-2.597358227E-1,9.600147247E0,9.604152836E0
3.991638620E-1,-9.727191925E-2,-2.477653325E-1,9.578599930E0,9.582297538E0
4.016034970E-1,-9.008961916E-2,-2.573417425E-1,9.583388329E0,9.587266178E0
4.040427160E-1,-9.248372167E-2,-2.549476326E-1,9.600147247E0,9.603977234E0
4.064828720E-1,-1.044542119E-1,-2.549476326E-1,9.597753525E0,9.601707228E0
4.089223520E-1,-9.248372167E-2,-2.477653325E-1,9.590570450E0,9.594216094E0
4.113612580E-1,-9.248372167E-2,-2.741004229E-1,9.595357895E0,9.599717569E0
4.138009970E-1,-9.727191925E-2,-2.693122029E-1,9.619298935E0,9.623559783E0
4.162408410E-1,-9.727191925E-2,-2.932532132E-1,9.664787292E0,9.669724540E0
4.186811540E-1,-9.248372167E-2,-2.788886130E-1,9.691122055E0,9.695575217E0
4.211211020E-1,-9.008961916E-2,-2.645240426E-1,9.695911407E0,9.699937481E0
4.235602680E-1,-9.248372167E-2,-2.741004229E-1,9.693517685E0,9.697833232E0
4.260003200E-1,-9.248372167E-2,-2.764945030E-1,9.679152489E0,9.683542500E0
4.284399560E-1,-1.188188046E-1,-2.645240426E-1,9.674364090E0,9.678709182E0
4.308788100E-1,-9.966601431E-2,-2.621299326E-1,9.652816772E0,9.656889616E0
4.333181850E-1,-8.290731907E-2,-2.717063129E-1,9.650423050E0,9.654603202E0
4.357577680E-1,-7.093682885E-2,-2.501594424E-1,9.616905212E0,9.620419827E0
4.381979770E-1,-1.020601094E-1,-2.549476326E-1,9.585782051E0,9.589714912E0
4.406378720E-1,-1.092424095E-1,-2.381889224E-1,9.607329369E0,9.610902427E0
4.430771950E-1,-1.092424095E-1,-2.525535226E-1,9.607329369E0,9.611269156E0
4.455173520E-1,-1.068483144E-1,-2.860709131E-1,9.616905212E0,9.621752387E0
4.479571430E-1,-1.092424095E-1,-2.597358227E-1,9.636057854E0,9.640176739E0
4.503961020E-1,-9.248372167E-2,-2.812827229E-1,9.648029327E0,9.652571839E0
4.528357370E-1,-1.068483144E-1,-2.645240426E-1,9.650423050E0,9.654639018E0
4.552754770E-1,-9.966601431E-2,-2.645240426E-1,9.693517685E0,9.697638444E0
4.577154240E-1,-9.248372167E-2,-2.812827229E-1,9.707880974E0,9.712395493E0
4.601549560E-1,-9.248372167E-2,-2.669181228E-1,9.705487251E0,9.709597381E0
4.625940180E-1,-9.487781674E-2,-2.525535226E-1,9.657605171E0,9.661372714E0
4.650339660E-1,-9.248372167E-2,-2.693122029E-1,9.652816772E0,9.657015789E0
4.674732890E-1,-1.068483144E-1,-2.788886130E-1,9.638452530E0,9.643078481E0
4.699120390E-1,-1.140306070E-1,-2.549476326E-1,9.614511490E0,9.618567069E0
4.723512580E-1,-1.068483144E-1,-2.405830324E-1,9.602540970E0,9.606148543E0
4.747907890E-1,-9.966601431E-2,-2.405830324E-1,9.595357895E0,9.598890907E0
4.772306330E-1,-9.008961916E-2,-2.429771274E-1,9.612116814E0,9.615609376E0
4.796697990E-1,-1.068483144E-1,-2.453712225E-1,9.609723091E0,9.613448990E0
4.821085490E-1,-9.487781674E-2,-2.238243222E-1,9.638452530E0,9.641517842E0
